client_id,branch_code,state_id,previous_state_id,next_state_id,message_request,message_response,response_action,response_action_message,repeat_message,is_deleted
107,CB1,12,11,13,a,"Thank you. Please answer the second question. /n How was your experience in our banking hall? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,12,11,13,b,"Thank you. Please answer the second question. /n How was your experience in our banking hall? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,12,11,13,c,"Thank you. Please answer the second question. /n How was your experience in our banking hall? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,12,11,13,d,"Thank you. Please answer the second question. /n How was your experience in our banking hall? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,12,11,13,e,"Thank you. Please answer the second question. /n How was your experience in our banking hall? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,13,12,14,a,"Thank you./n How satisfied are you with our staff that served you? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,13,12,14,b,"Thank you./nHow satisfied are you with our staff that served you? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,13,12,14,c,"Thank you./nHow satisfied are you with our staff that served you? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,13,12,14,d,"Thank you./nHow satisfied are you with our staff that served you? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,13,12,14,e,"Thank you./nHow satisfied are you with our staff that served you? 
a.Excellent
b.Good
c.Average
d.Poor
e.Very Poor","{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,14,13,15,d,Would you like to share more information about our service? /n a. Yes b. No,"{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,14,13,15,e,Would you like to share more information about our service? /n a. Yes b. No,"{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,15,14,16,a,Please share the reason with us.,"{""expiry"": true}",NULL,Thank you for your feedback,0
107,CB1,15,14,16,b,Thank you for your feedback. ,"{""expiry"": true}",NULL,Thank you for your feedback,0